unet_data4_d6_u_c_preFalse_lr5_bs16_size256train_loss,unet_data4_d6_u_c_preFalse_lr5_bs16_size256val_loss,unet_data1_d6_u_c_preFalse_lr6_bs8_size256train_loss,unet_data1_d6_u_c_preFalse_lr6_bs8_size256val_loss,unet_data0_d6_u_c_preFalse_lr5_bs8_size256train_loss,unet_data0_d6_u_c_preFalse_lr5_bs8_size256val_loss,unet_data1_d6_u_c_preFalse_lr7_bs8_size256train_loss,unet_data1_d6_u_c_preFalse_lr7_bs8_size256val_loss,unet_data3_d6_u_c_preFalse_lr7_bs16_size256train_loss,unet_data3_d6_u_c_preFalse_lr7_bs16_size256val_loss,unet_data0_d6_u_c_preFalse_lr6_bs16_size256train_loss,unet_data0_d6_u_c_preFalse_lr6_bs16_size256val_loss,unet_data3_d6_u_c_preFalse_lr6_bs16_size256train_loss,unet_data3_d6_u_c_preFalse_lr6_bs16_size256val_loss,unet_data2_d6_u_c_preFalse_lr5_bs8_size256train_loss,unet_data2_d6_u_c_preFalse_lr5_bs8_size256val_loss,unet_data3_d6_u_c_preFalse_lr5_bs8_size256train_loss,unet_data3_d6_u_c_preFalse_lr5_bs8_size256val_loss,unet_data2_d6_u_c_preFalse_lr6_bs16_size256train_loss,unet_data2_d6_u_c_preFalse_lr6_bs16_size256val_loss,unet_data4_d6_u_c_preFalse_lr7_bs8_size256train_loss,unet_data4_d6_u_c_preFalse_lr7_bs8_size256val_loss,unet_data3_d6_u_c_preFalse_lr6_bs8_size256train_loss,unet_data3_d6_u_c_preFalse_lr6_bs8_size256val_loss,unet_data1_d6_u_c_preFalse_lr5_bs16_size256train_loss,unet_data1_d6_u_c_preFalse_lr5_bs16_size256val_loss,unet_data1_d6_u_c_preFalse_lr7_bs16_size256train_loss,unet_data1_d6_u_c_preFalse_lr7_bs16_size256val_loss,unet_data4_d6_u_c_preFalse_lr7_bs16_size256train_loss,unet_data4_d6_u_c_preFalse_lr7_bs16_size256val_loss,unet_data2_d6_u_c_preFalse_lr5_bs16_size256train_loss,unet_data2_d6_u_c_preFalse_lr5_bs16_size256val_loss,unet_data0_d6_u_c_preFalse_lr7_bs16_size256train_loss,unet_data0_d6_u_c_preFalse_lr7_bs16_size256val_loss,unet_data3_d6_u_c_preFalse_lr7_bs8_size256train_loss,unet_data3_d6_u_c_preFalse_lr7_bs8_size256val_loss,unet_data0_d6_u_c_preFalse_lr7_bs8_size256train_loss,unet_data0_d6_u_c_preFalse_lr7_bs8_size256val_loss,unet_data1_d6_u_c_preFalse_lr5_bs8_size256train_loss,unet_data1_d6_u_c_preFalse_lr5_bs8_size256val_loss,unet_data1_d6_u_c_preFalse_lr6_bs16_size256train_loss,unet_data1_d6_u_c_preFalse_lr6_bs16_size256val_loss,unet_data2_d6_u_c_preFalse_lr7_bs16_size256train_loss,unet_data2_d6_u_c_preFalse_lr7_bs16_size256val_loss,unet_data0_d6_u_c_preFalse_lr6_bs8_size256train_loss,unet_data0_d6_u_c_preFalse_lr6_bs8_size256val_loss,unet_data4_d6_u_c_preFalse_lr6_bs8_size256train_loss,unet_data4_d6_u_c_preFalse_lr6_bs8_size256val_loss,unet_data2_d6_u_c_preFalse_lr6_bs8_size256train_loss,unet_data2_d6_u_c_preFalse_lr6_bs8_size256val_loss,unet_data0_d6_u_c_preFalse_lr5_bs16_size256train_loss,unet_data0_d6_u_c_preFalse_lr5_bs16_size256val_loss,unet_data4_d6_u_c_preFalse_lr5_bs8_size256train_loss,unet_data4_d6_u_c_preFalse_lr5_bs8_size256val_loss,unet_data4_d6_u_c_preFalse_lr6_bs16_size256train_loss,unet_data4_d6_u_c_preFalse_lr6_bs16_size256val_loss,unet_data2_d6_u_c_preFalse_lr7_bs8_size256train_loss,unet_data2_d6_u_c_preFalse_lr7_bs8_size256val_loss,unet_data3_d6_u_c_preFalse_lr5_bs16_size256train_loss,unet_data3_d6_u_c_preFalse_lr5_bs16_size256val_loss
,,0.4635,0.1818,0.4427,0.1680,,,,,0.4607,0.4006,0.5083,0.2641,,,,,0.4267,0.1981,,,0.4097,0.1872,0.5382,0.2138,,,,,,,,,,,,,,,0.5562,0.2707,,,0.4113,0.1949,0.7723,0.1926,0.3830,0.2006,0.4759,0.2239,,,0.6384,0.2263,,,,
,,0.3130,0.1693,0.3275,0.1464,,,,,0.3508,0.1683,0.3563,0.1584,,,,,0.3347,0.1624,,,0.3099,0.1586,0.3506,0.1402,,,,,,,,,,,,,,,0.3725,0.1760,,,0.2905,0.1338,0.4727,0.1883,0.2690,0.1362,0.3252,0.1584,,,0.4405,0.2465,,,,
,,0.2521,0.1259,0.2681,0.1437,,,,,0.2853,0.1470,0.2897,0.1348,,,,,0.2728,0.1338,,,0.2501,0.1309,0.2793,0.1535,,,,,,,,,,,,,,,0.3024,0.1885,,,0.2321,0.1150,0.3809,0.1537,0.2239,0.1345,0.2631,0.1701,,,0.3509,0.1361,,,,
,,0.2156,0.1276,0.2309,0.1001,,,,,0.2460,0.1119,0.2504,0.1458,,,,,0.2388,0.1257,,,0.2165,0.0990,0.2404,0.1216,,,,,,,,,,,,,,,0.2614,0.1491,,,0.2033,0.1029,0.3224,0.1578,0.1990,0.1059,0.2292,0.1025,,,0.2934,0.1113,,,,
,,0.1931,0.1098,0.2049,0.0971,,,,,0.2196,0.0997,0.2255,0.1318,,,,,0.2131,0.1187,,,0.1924,0.1024,0.2115,0.1046,,,,,,,,,,,,,,,0.2341,0.1262,,,0.1842,0.0976,0.2819,0.1081,0.1800,0.0993,0.2063,0.1014,,,0.2566,0.1036,,,,
,,0.1774,0.1437,0.1875,0.0980,,,,,0.2005,0.1006,0.2080,0.1355,,,,,0.1951,0.0953,,,0.1755,0.0949,0.1935,0.1163,,,,,,,,,,,,,,,0.2124,0.1198,,,0.1702,0.0948,0.2527,0.0994,0.1660,0.0875,0.1887,0.0943,,,0.2304,0.1067,,,,
,,0.1663,0.1246,0.1735,0.0790,,,,,0.1856,0.0928,0.1952,0.1065,,,,,0.1812,0.0896,,,0.1637,0.0984,0.1841,0.1388,,,,,,,,,,,,,,,0.1956,0.1079,,,0.1600,0.0980,0.2305,0.0912,0.1554,0.0897,0.1746,0.1032,,,0.2131,0.0996,,,,
,,0.1564,0.1016,0.1627,0.0811,,,,,0.1754,0.1031,0.1841,0.0914,,,,,0.1700,0.0910,,,0.1542,0.0810,0.1754,0.1446,,,,,,,,,,,,,,,0.1823,0.1069,,,0.1523,0.0837,0.2136,0.0964,0.1459,0.0857,0.1822,0.2329,,,0.1991,0.0953,,,,
,,0.1481,0.1031,0.1539,0.0738,,,,,0.1665,0.0864,0.1750,0.0910,,,,,0.1614,0.0899,,,0.1464,0.0819,0.1663,0.0999,,,,,,,,,,,,,,,0.1718,0.1098,,,0.1465,0.1418,0.2006,0.0879,0.1390,0.0781,0.1877,0.1477,,,0.1875,0.0970,,,,
,,0.1415,0.0970,0.1465,0.0724,,,,,0.1588,0.0896,0.1668,0.1055,,,,,0.1538,0.0931,,,0.1402,0.0786,0.1580,0.0924,,,,,,,,,,,,,,,0.1662,0.2424,,,0.1546,0.1259,0.1890,0.0827,0.1327,0.0987,0.1816,0.1081,,,0.1779,0.0944,,,,
,,0.1358,0.1186,0.1399,0.0675,,,,,0.1532,0.0767,0.1596,0.0856,,,,,0.1476,0.0865,,,0.1345,0.0797,0.1510,0.0880,,,,,,,,,,,,,,,0.1686,0.1393,,,0.1507,0.0941,0.1790,0.0845,0.1279,0.0784,0.1780,0.1229,,,0.1708,0.1010,,,,
,,0.1312,0.1030,0.1349,0.0702,,,,,0.1473,0.0832,0.1542,0.0866,,,,,0.1424,0.0823,,,0.1299,0.0769,0.1448,0.0895,,,,,,,,,,,,,,,0.1633,0.1200,,,0.1463,0.0900,0.1723,0.0883,0.1233,0.0766,0.1736,0.0968,,,0.1640,0.0880,,,,
