start training
learning rate = 0.000100
Epoch: [0][0/536]	Time 6.719 (6.719)	Data 0.004 (0.004)	Loss 1.0749 (1.0749)	
Epoch: [0][10/536]	Time 0.042 (0.655)	Data 0.003 (0.004)	Loss 1.0869 (0.8172)	
Epoch: [0][20/536]	Time 0.044 (0.363)	Data 0.003 (0.004)	Loss 0.6325 (0.9299)	
Epoch: [0][30/536]	Time 0.042 (0.260)	Data 0.003 (0.003)	Loss 0.8123 (0.9017)	
Epoch: [0][40/536]	Time 0.042 (0.207)	Data 0.003 (0.003)	Loss 0.7099 (0.9547)	
Epoch: [0][50/536]	Time 0.043 (0.175)	Data 0.003 (0.003)	Loss 0.6042 (0.8946)	
Epoch: [0][60/536]	Time 0.043 (0.153)	Data 0.003 (0.003)	Loss 0.1448 (0.9983)	
Epoch: [0][70/536]	Time 0.043 (0.137)	Data 0.003 (0.003)	Loss 0.6509 (0.9537)	
Epoch: [0][80/536]	Time 0.044 (0.126)	Data 0.003 (0.003)	Loss 0.1241 (0.9291)	
Epoch: [0][90/536]	Time 0.049 (0.117)	Data 0.003 (0.003)	Loss 0.6989 (0.8892)	
Epoch: [0][100/536]	Time 0.067 (0.110)	Data 0.003 (0.003)	Loss 0.6851 (0.8606)	
Epoch: [0][110/536]	Time 0.043 (0.104)	Data 0.003 (0.003)	Loss 0.6190 (0.8352)	
Epoch: [0][120/536]	Time 0.043 (0.099)	Data 0.003 (0.003)	Loss 0.6670 (0.8166)	
Epoch: [0][130/536]	Time 0.043 (0.095)	Data 0.003 (0.003)	Loss 0.5066 (0.7896)	
Epoch: [0][140/536]	Time 0.051 (0.091)	Data 0.003 (0.003)	Loss 0.7666 (0.7700)	
Epoch: [0][150/536]	Time 0.044 (0.088)	Data 0.005 (0.003)	Loss 1.1803 (0.7538)	
Epoch: [0][160/536]	Time 0.043 (0.086)	Data 0.005 (0.003)	Loss 0.6303 (0.7415)	
Epoch: [0][170/536]	Time 0.043 (0.083)	Data 0.003 (0.003)	Loss 0.5877 (0.7296)	
Epoch: [0][180/536]	Time 0.042 (0.081)	Data 0.005 (0.003)	Loss 0.6446 (0.7190)	
Epoch: [0][190/536]	Time 0.043 (0.079)	Data 0.005 (0.003)	Loss 0.6464 (0.7031)	
Epoch: [0][200/536]	Time 0.051 (0.077)	Data 0.003 (0.003)	Loss 0.5197 (0.6921)	
Epoch: [0][210/536]	Time 0.043 (0.076)	Data 0.005 (0.003)	Loss 0.5815 (0.6813)	
Epoch: [0][220/536]	Time 0.042 (0.074)	Data 0.005 (0.004)	Loss 0.4188 (0.6695)	
Epoch: [0][230/536]	Time 0.042 (0.073)	Data 0.003 (0.004)	Loss 0.3282 (0.6573)	
Epoch: [0][240/536]	Time 0.043 (0.072)	Data 0.003 (0.004)	Loss 0.2798 (0.6454)	
Epoch: [0][250/536]	Time 0.042 (0.071)	Data 0.003 (0.004)	Loss 0.2786 (0.6355)	
Epoch: [0][260/536]	Time 0.042 (0.070)	Data 0.003 (0.004)	Loss 0.1592 (0.6232)	
Epoch: [0][270/536]	Time 0.043 (0.068)	Data 0.003 (0.003)	Loss 1.1184 (0.6127)	
Epoch: [0][280/536]	Time 0.042 (0.068)	Data 0.003 (0.003)	Loss 0.4183 (0.6054)	
Epoch: [0][290/536]	Time 0.042 (0.067)	Data 0.003 (0.003)	Loss 0.8192 (0.6028)	
Epoch: [0][300/536]	Time 0.042 (0.066)	Data 0.003 (0.003)	Loss 0.2064 (0.5945)	
Epoch: [0][310/536]	Time 0.042 (0.065)	Data 0.003 (0.003)	Loss 0.4054 (0.5844)	
Epoch: [0][320/536]	Time 0.043 (0.064)	Data 0.003 (0.003)	Loss 0.1812 (0.5755)	
Epoch: [0][330/536]	Time 0.044 (0.064)	Data 0.003 (0.003)	Loss 0.2726 (0.5660)	
Epoch: [0][340/536]	Time 0.043 (0.063)	Data 0.003 (0.003)	Loss 0.0927 (0.5542)	
Epoch: [0][350/536]	Time 0.043 (0.063)	Data 0.003 (0.003)	Loss 0.3214 (0.5473)	
Epoch: [0][360/536]	Time 0.042 (0.062)	Data 0.003 (0.003)	Loss 0.1025 (0.5385)	
Epoch: [0][370/536]	Time 0.042 (0.061)	Data 0.003 (0.003)	Loss 0.0768 (0.5294)	
Epoch: [0][380/536]	Time 0.043 (0.061)	Data 0.003 (0.003)	Loss 0.0675 (0.5198)	
Epoch: [0][390/536]	Time 0.042 (0.060)	Data 0.003 (0.003)	Loss 0.3870 (0.5116)	
Epoch: [0][400/536]	Time 0.043 (0.060)	Data 0.003 (0.003)	Loss 0.0889 (0.5035)	
Epoch: [0][410/536]	Time 0.044 (0.060)	Data 0.003 (0.003)	Loss 0.1635 (0.4950)	
Epoch: [0][420/536]	Time 0.042 (0.059)	Data 0.003 (0.003)	Loss 0.1683 (0.4879)	
Epoch: [0][430/536]	Time 0.040 (0.059)	Data 0.003 (0.003)	Loss 0.0360 (0.4817)	
Epoch: [0][440/536]	Time 0.043 (0.058)	Data 0.003 (0.003)	Loss 0.2458 (0.4749)	
Epoch: [0][450/536]	Time 0.042 (0.058)	Data 0.003 (0.003)	Loss 0.0727 (0.4685)	
Epoch: [0][460/536]	Time 0.043 (0.058)	Data 0.003 (0.003)	Loss 0.0551 (0.4618)	
Epoch: [0][470/536]	Time 0.042 (0.057)	Data 0.003 (0.003)	Loss 0.1503 (0.4550)	
Epoch: [0][480/536]	Time 0.043 (0.057)	Data 0.003 (0.003)	Loss 0.2513 (0.4492)	
Epoch: [0][490/536]	Time 0.042 (0.057)	Data 0.003 (0.003)	Loss 0.4156 (0.4451)	
Epoch: [0][500/536]	Time 0.042 (0.057)	Data 0.003 (0.003)	Loss 0.3081 (0.4410)	
Epoch: [0][510/536]	Time 0.042 (0.056)	Data 0.003 (0.003)	Loss 0.0185 (0.4368)	
Epoch: [0][520/536]	Time 0.042 (0.056)	Data 0.003 (0.003)	Loss 0.1091 (0.4342)	
Epoch: [0][530/536]	Time 0.042 (0.056)	Data 0.003 (0.003)	Loss 0.0226 (0.4301)	
Test: [0/134]	Time 0.018 (0.018)	Loss 0.1357 (0.1357)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
