id,is_iceberg
5941774d,0.239679
4023181e,0.721310
565b28ac,0.002030
0bd4658e,0.766857
99a7b417,0.657085
e5798365,0.054075
078c699f,0.629232
b2cd6017,0.466535
89b3960f,0.713070
104d981d,0.936916
05e410e9,0.275464
44556da6,0.031671
207e5145,0.814506
390ddfc0,0.000180
4a311bb0,0.586259
2e82728f,0.194231
4245d2cc,0.013482
d43a187c,0.692171
52b60236,0.000443
cc22996f,0.136691
bf08f16a,0.003934
47dea2c3,0.639999
22ac0bab,0.666507
49c670ad,0.023121
1040e727,0.014783
f939c817,0.035618
f39933c4,0.152365
30474ea4,0.833559
73978670,0.590870
527ad437,0.987162
78f83e41,0.362481
12921cf8,0.946945
b960192b,0.024395
9dfaf61b,0.010677
cec954d2,0.002093
00bb437f,0.818509
956adc4d,0.964143
06458d98,0.041492
37ba4455,0.017836
2feeeaf3,0.984836
06c83a48,0.004839
dfe4fd55,0.001571
0b7fb9da,0.000823
52d1ae5f,0.000096
0ef51267,0.551779
0d9822ce,0.926853
bcad7099,0.000259
f8a119f5,0.670567
a26a7454,0.712679
93b7cc9d,0.923680
dcd0ddc6,0.672235
16655d5c,0.335549
2a6150ae,0.256584
601fa9bc,0.460762
3644a31b,0.801095
396254ec,0.101366
b01bf536,0.548433
ff13313c,0.291904
61faa1ad,0.805477
18c308c7,0.493516
50b69cc6,0.423406
76bd6e6a,0.037935
74c587bb,0.843654
11b26a63,0.740493
bf2bc384,0.733681
075634d5,0.000761
7b1e388b,0.001219
8eb02fc2,0.682029
5b09ed4a,0.763503
6725eb3e,0.128428
371b935e,0.801043
7a1cbaab,0.191424
c5c72595,0.952621
c5ea95c0,0.871248
a5b61d35,0.064052
2c252c46,0.221473
7d8e52d9,0.489741
13fe65d5,0.568235
a3d2abc6,0.159245
9248daa9,0.768971
17b3a8fd,0.011399
605470fc,0.466633
38717ccd,0.882046
1144cbd0,0.965461
6d32e09b,0.768010
89b138f7,0.014778
a83f69a4,0.116066
68b7f89d,0.377906
a0998397,0.316595
7e20006f,0.000269
93b12419,0.667344
49a88dfc,0.000181
475c5a35,0.558383
67f42c90,0.717867
45a114e0,0.047366
41a59ee9,0.498676
6c2c6a39,0.308514
9f840a7d,0.009377
2ad5ee96,0.003217
cb8b875e,0.942277
2283d088,0.103890
545f8210,0.002647
2d6ec645,0.802759
7eeed38a,0.932939
be77b9e7,0.031330
16ec40a3,0.658442
b7e74bcf,0.908087
8a36acfd,0.715647
d2e5b493,0.992262
bd88797b,0.024559
78566a26,0.024629
32449528,0.167426
5f6ffdad,0.242367
e04e9775,0.633390
0d4d77ba,0.568042
38bdc33c,0.472249
f88a9ed3,0.044857
c1fe2103,0.008430
63f7ddd9,0.078926
97e123d2,0.190636
7d078228,0.211296
6b43e60f,0.985679
e07665a4,0.407819
4da0c147,0.008894
1d2474a1,0.635908
3ee672a2,0.986679
f39a3050,0.008767
aaeb3f89,0.142513
daa3d1e9,0.039323
23cad3ed,0.978389
dc8fd92d,0.939812
994a2787,0.004149
5009ce8c,0.974915
95ba90c7,0.001188
bb176f20,0.000067
57ccd603,0.201089
738b41fd,0.649897
c3767f5b,0.949093
076492b4,0.105962
68864007,0.448025
fb124dd7,0.336351
c59fbfc0,0.019806
ddce9f51,0.588855
c459dbf6,0.752810
1a39b44e,0.601208
a31f8519,0.000006
29ff4d55,0.002437
f7fb320d,0.606384
c0a87a44,0.348848
aa07ea34,0.002110
ed7b77f3,0.901726
ccb10918,0.032218
aba1f2cc,0.018299
0c4b7ce6,0.245609
26a29fae,0.000741
6a1a9b91,0.742304
fda0d9b3,0.013388
2f7da2f9,0.558707
b42fad18,0.017255
948317c5,0.056672
df315de0,0.115848
51762e5e,0.285710
9be1f9d4,0.103140
b20f16ca,0.244174
24f677ab,0.415095
19d36f67,0.000075
db098e36,0.701549
