id,is_iceberg
5941774d,0.042013
4023181e,0.442321
565b28ac,0.000000
0bd4658e,0.381110
99a7b417,0.172205
e5798365,0.000925
078c699f,0.529774
b2cd6017,0.496614
89b3960f,0.232566
104d981d,0.999674
05e410e9,0.972133
44556da6,0.036671
207e5145,0.024689
390ddfc0,0.000000
4a311bb0,0.860357
2e82728f,0.000298
4245d2cc,0.000136
d43a187c,0.350977
52b60236,0.000000
cc22996f,0.042831
bf08f16a,0.000000
47dea2c3,0.136006
22ac0bab,0.271578
49c670ad,0.000001
1040e727,0.000014
f939c817,0.000764
f39933c4,0.003367
30474ea4,0.996185
73978670,0.540239
527ad437,0.999461
78f83e41,0.199506
12921cf8,0.694651
b960192b,0.000000
9dfaf61b,0.000000
cec954d2,0.000003
00bb437f,0.024767
956adc4d,0.995845
06458d98,0.070871
37ba4455,0.116570
2feeeaf3,0.999978
06c83a48,0.000165
dfe4fd55,0.000000
0b7fb9da,0.000005
52d1ae5f,0.000003
0ef51267,0.070313
0d9822ce,0.995735
bcad7099,0.000000
f8a119f5,0.630344
a26a7454,0.998705
93b7cc9d,0.567673
dcd0ddc6,0.030947
16655d5c,0.790185
2a6150ae,0.000092
601fa9bc,0.124183
3644a31b,0.162863
396254ec,0.378375
b01bf536,0.406732
ff13313c,0.070435
61faa1ad,0.119727
18c308c7,0.757431
50b69cc6,0.000002
76bd6e6a,0.085407
74c587bb,0.006612
11b26a63,0.426953
bf2bc384,0.468476
075634d5,0.000000
7b1e388b,0.000031
8eb02fc2,0.099092
5b09ed4a,0.000137
6725eb3e,0.000852
371b935e,0.999911
7a1cbaab,0.274964
c5c72595,0.985324
c5ea95c0,0.122280
a5b61d35,0.062392
2c252c46,0.004350
7d8e52d9,0.464298
13fe65d5,0.558823
a3d2abc6,0.130654
9248daa9,0.810260
17b3a8fd,0.007479
605470fc,0.377013
38717ccd,0.959029
1144cbd0,0.998391
6d32e09b,0.993510
89b138f7,0.000001
a83f69a4,0.999292
68b7f89d,0.208062
a0998397,0.191297
7e20006f,0.000000
93b12419,0.983697
49a88dfc,0.000010
475c5a35,0.936641
67f42c90,0.451566
45a114e0,0.087714
41a59ee9,0.376029
6c2c6a39,0.103621
9f840a7d,0.000434
2ad5ee96,0.000062
cb8b875e,0.986819
2283d088,0.100640
545f8210,0.000301
2d6ec645,0.409724
7eeed38a,0.992133
be77b9e7,0.014121
16ec40a3,0.368487
b7e74bcf,0.679192
8a36acfd,0.789633
d2e5b493,0.999949
bd88797b,0.000752
78566a26,0.000379
32449528,0.149333
5f6ffdad,0.324728
