ImageId,EncodedPixels
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,49153 1 49409 1 49665 1 49922 1 50178 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,52232 2 52236 1 52486 9 52740 12 52995 14 53250 15 53505 17 53762 16 54017 18 54273 18 54529 18 54785 17 55041 17 55297 16 55553 14 55809 12 56065 12 56321 12 56578 11 56834 12 57090 12 57346 12 57601 13 57857 13 58113 13 58369 12 58625 12 58881 10 59137 10 59393 9 59649 9 59905 8 60161 9 60417 9 60673 8 60930 4
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42004 1 42255 1 42261 1 42510 7 42767 6 42777 4 43019 10 43032 5 43273 11 43287 6 43529 21 43785 21 44039 23 44295 24 44549 26 44805 27 45061 27 45316 28 45572 29 45828 29 46084 29 46340 29 46596 29 46853 29 47110 28 47366 17 47384 1 47386 9 47622 15 47642 10 47879 14 47898 10 48136 13 48150 15 48393 12 48407 15 48650 10 48661 17 48906 10 48917 17 49164 26 49422 2 49427 1 49429 18 49683 19 49939 20 50195 19 50451 20 50707 20 50964 19 51220 18 51476 18 51733 16 51989 16 52246 13 52502 12 52763 1 52765 1 53022 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,63245 1 63247 1 63496 12 63751 14 64006 16 64261 17 64517 17 64773 18 65028 17 65288 6 65295 8
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,21018 3 21264 1 21267 13 21519 18 21775 19 22031 20 22287 20 22543 21 22799 21 23055 21 23311 21 23567 21 23823 21 24078 22 24334 22 24590 22 24846 22 25103 20 25359 21 25616 16 25635 1 25873 10 25889 4 26130 3 26144 4 26399 5 26655 6 26909 10 27164 13 27417 1 27419 15 27669 22 27924 24 28180 24 28436 24 28692 25 28948 1 28951 22 29207 22 29464 21 29720 20 29976 20 30229 1 30232 19 30484 23 30741 22 30997 21 31253 20 31510 19 31766 17 32022 16 32280 2 32284 7 32292 1 32536 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,57392 2 57629 2 57646 5 57881 6 57897 10 58132 11 58152 11 58388 12 58407 13 58643 14 58662 15 58899 15 58917 16 59155 15 59173 17 59411 16 59428 18 59667 16 59684 19 59921 38 60177 1 60179 16 60197 19 60433 18 60453 19 60689 17 60709 19 60944 18 60965 19 61200 17 61222 18 61457 17 61479 17 61714 15 61735 16 61971 14 61992 14 62228 12 62249 12 62487 9 62507 6 62746 3
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,56094 2 56349 2 56605 4 56860 1 56862 1 56864 1 57120 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,26397 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42025 6 42279 11 42535 13 42791 14 43046 15 43301 17 43555 19 43811 19 44067 19 44324 18 44581 17 44837 16 45094 14 45352 11 45609 9 45867 5
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,60963 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,63027 1 63281 1 63283 1 63535 7 63787 13 64039 18 64294 19 64550 20 64806 20 65060 21 65319 20
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,48184 3 48435 1 48437 1 48439 4 48688 13 48944 15 48960 1 49199 19 49455 20 49711 20 49967 19 50222 19 50478 20 50733 21 50989 21 51245 21 51501 20 51757 19 52012 21 52269 19 52524 21 52781 14 52796 4 53037 14 53055 1 53057 3 53293 12 53309 1 53311 7 53551 9 53566 9 53808 1 53810 1 53821 12 54077 12 54332 14 54587 15 54843 16 55098 18 55354 18 55610 18 55866 19 56122 19 56378 19 56634 20 56890 19 57147 18 57403 17 57659 18 57915 17 58172 16 58427 16 58450 4 58683 13 58704 8 58940 10 58955 13 59197 9 59207 18 59453 7 59461 20 59711 27 59968 26 60226 24 60481 25 60738 24 60994 24 61250 23 61507 21 61763 21 62020 10 62033 5 62276 9 62290 1 62533 8 62790 6
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,41780 1 42035 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,63029 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,52292 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42319 2 42575 2 42831 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,64853 8 65107 11 65363 11
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,41302 2 41557 5 41814 3
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42333 1 42587 7 42841 12 43097 13 43353 12 43609 12 43865 12 44121 15 44377 15 44633 16 44889 16 45145 16 45401 17 45657 17 45913 17 46169 17 46425 17 46449 2 46681 17 46702 6 46937 16 46955 9 47193 15 47211 9 47449 13 47466 10 47705 13 47722 10 47961 13 47977 12 48217 14 48232 13 48474 27 48732 25 48988 24 49244 24 49501 23 49760 18 50015 18 50270 19 50526 20 50782 20 51038 20 51295 19 51552 18 51808 9 51822 4 52064 9 52320 9 52576 9 52834 7 53091 4
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,22631 2 22881 1 22883 1 22885 5 23135 12 23391 14 23644 18 23900 18 24155 20 24411 20 24666 22 24922 22 25178 22 25434 24 25690 24 25946 24 26203 23 26459 23 26716 21 26972 21 27228 19 27485 18 27742 17 28000 16 28257 13 28271 1 28515 11 28527 1 28774 8 29030 6 29284 8 29540 8 29797 6 30055 3
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,55915 5 56167 2 56171 1 56173 3 56421 5 56427 6 56677 5 56683 1 56685 3 56931 14 57187 16 57204 2 57439 23 57693 24 57718 1 57949 25 58205 25 58461 25 58717 27 58975 1 58977 23 59232 24 59489 23 59745 23 60001 1 60003 21 60258 22 60515 21 60770 21 61027 19 61284 18 61542 15 61798 14 62059 7 62316 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,33391 2 33643 6 33897 14 34153 16 34407 19 34663 20 34919 20 35175 20 35431 20 35687 20 35943 21 36199 21 36455 21 36711 21 36967 21 37223 21 37479 19 37735 18 37993 15 38250 13 38506 13 38763 11
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,46443 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,58231 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,38266 3 38521 4 38779 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,62597 6 62604 1 62850 12 63105 15 63360 16 63616 17 63871 18 64127 19 64382 20 64638 20 64895 19 65150 19 65409 16
