ImageId,EncodedPixels
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,48897 1 49153 2 49409 2 49665 2 49921 2 50177 1 50433 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,52231 5 52486 9 52738 14 52994 15 53250 16 53506 16 53761 18 54017 19 54273 18 54529 19 54785 18 55041 17 55297 17 55553 17 55809 13 56065 12 56321 13 56577 13 56833 13 57089 13 57345 13 57601 13 57857 13 58113 13 58369 13 58625 13 58881 13 59137 12 59393 11 59649 10 59905 10 60161 10 60417 10 60673 10 60929 8 61185 5 61441 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,63241 8 63495 13 63749 16 64002 19 64258 20 64514 1 64516 19 64770 16 64787 3 65026 21 65283 22
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42256 1 42259 4 42509 11 42764 16 43018 19 43273 20 43528 22 43784 22 44039 24 44294 26 44549 27 44805 28 45060 29 45315 30 45571 30 45827 30 46083 30 46339 31 46595 30 46852 29 47109 27 47366 29 47622 30 47879 30 48135 30 48392 30 48649 29 48905 29 49163 28 49421 26 49679 2 49682 20 49938 20 50195 20 50451 19 50707 19 50963 19 51220 18 51476 18 51732 18 51989 16 52245 16 52502 15 52760 10 53018 6
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,20761 1 21013 1 21016 7 21265 16 21520 18 21775 20 22031 21 22287 21 22543 22 22799 22 23054 23 23310 23 23566 23 23822 23 24078 23 24334 23 24590 23 24846 22 25102 22 25359 20 25615 19 25872 13 25886 3 26129 11 26142 4 26393 11 26652 9 26908 13 27162 16 27415 21 27668 24 27924 25 28179 26 28435 27 28691 27 28948 26 29204 26 29460 26 29716 25 29972 25 30228 25 30484 25 30740 24 30996 23 31253 21 31509 20 31766 18 32022 18 32279 15 32536 2 32542 4
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,56349 4 56604 5 56859 7 57115 6 57370 6 57390 4 57623 9 57643 8 57876 12 57897 10 58132 12 58152 12 58388 12 58407 14 58643 15 58662 16 58899 16 58917 18 59154 37 59410 37 59665 15 59682 22 59921 15 59941 19 60176 17 60197 19 60431 17 60452 20 60687 17 60707 21 60944 17 60962 22 61200 40 61456 19 61478 18 61712 18 61735 17 61970 16 61992 15 62227 14 62249 13 62485 12 62506 11 62745 7 62762 10 63019 8 63274 10 63529 15 63782 19 64037 21 64292 23 64548 23 64804 22 65059 24 65315 25
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,41779 1 42025 12 42279 14 42535 14 42790 15 43045 17 43300 18 43555 20 43811 20 44067 20 44324 18 44581 17 44837 17 45094 15 45351 13 45609 10 45866 7
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,47925 5 48178 10 48432 13 48687 16 48704 1 48942 21 49198 21 49454 22 49710 22 49966 21 50221 22 50477 22 50733 22 50989 22 51245 21 51501 21 51757 20 52012 21 52268 21 52291 3 52524 27 52780 26 53036 26 53293 13 53308 11 53549 12 53565 11 53807 8 53821 12 54076 14 54331 15 54587 16 54842 18 55098 18 55353 20 55610 19 55866 19 56121 20 56377 21 56633 21 56890 20 57146 19 57402 18 57658 18 57915 17 58171 16 58194 1 58426 17 58448 6 58683 29 58940 28 59196 29 59453 29 59711 27 59968 26 60225 25 60481 25 60737 25 60993 25 61250 24 61506 23 61763 21 62019 20 62276 15 62292 1 62533 10 62790 7 63049 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,64600 3 64852 9 65106 12 65361 13
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42331 5 42585 12 42840 13 43096 14 43352 14 43608 13 43864 13 44120 16 44376 17 44632 17 44889 17 45145 17 45401 17 45657 17 45912 18 46168 18 46425 17 46449 1 46681 17 46699 3 46703 5 46937 27 47193 15 47210 10 47449 14 47465 12 47705 14 47721 12 47961 13 47976 13 48217 28 48474 27 48731 26 48988 25 49244 25 49501 23 49759 20 50014 19 50269 20 50525 21 50781 21 51037 21 51294 21 51550 21 51807 19 52063 11 52078 3 52319 10 52575 10 52832 8 53088 8 53347 3
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,22375 2 22629 4 22881 10 23135 14 23390 16 23644 19 23899 20 24155 20 24410 22 24666 22 24922 23 25177 24 25433 25 25689 26 25945 26 26202 24 26458 24 26715 23 26971 22 27228 21 27484 20 27741 18 27999 15 28256 14 28512 12 28770 9 29030 1 29032 1
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,56171 5 56421 12 56676 13 56931 16 57185 19 57440 21 57694 24 57949 25 58205 26 58461 27 58719 25 58976 24 59233 23 59489 24 59745 23 60001 23 60258 22 60514 22 60770 21 61027 20 61283 19 61541 17 61798 14 62055 10
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,33387 9 33641 13 33896 16 34152 17 34407 20 34663 20 34919 20 35174 21 35430 22 35686 22 35942 22 36198 22 36454 22 36710 22 36967 21 37223 21 37479 20 37735 19 37992 17 38249 15 38506 14 38763 11 39020 7
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,62596 7 62850 11 63105 13 63360 16 63615 18 63871 18 64127 19 64383 19 64638 21 64894 21 65151 19 65407 19
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,45702 4 45956 9 46211 14 46467 19 46722 23 46750 2 46978 31 47234 31 47489 31 47745 29 48001 30 48257 31 48513 31 48770 31 49026 31 49282 32 49538 33 49794 33 50051 32 50308 32 50564 33 50821 32 51078 31 51340 25 51598 11 51610 11 51855 9 51865 12 52112 21 52370 19 52628 17 52887 13 53143 11 53401 7
